"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
"",Financial account / Net / Other investment / Domestic sector: Central bank / Rest of the world,,Current account / Services / Expenditure / Rest of the world,,Current account / Services / Receipts / Rest of the world,,Current account / Primary income / Balance / Rest of the world,,Financial account / Net / Other investment / Rest of the world,,Current account / Goods / Expenditure / Rest of the world,,Current account / Secondary income / Balance / Rest of the world,,Financial account / Net / Other investment / Domestic sector: Enterprises and households / Rest of the world,,Financial account / Net / Rest of the world,,Current account / Primary income / Receipts / Rest of the world,,Current account / Goods / Balance / Rest of the world,,Financial account / Net / Direct investment / Rest of the world,,Current account / Services / Balance / Rest of the world,,Financial account / Net / Other investment / Domestic sector: Monetary financial institutions (excl. central bank) / Rest of the world,,Financial account / Net domestic investment abroad / Reserve assets / Domestic sector: Central bank / Rest of the world,,Current account / Secondary income / Receipts / Rest of the world,,Financial account / Net / Portfolio investment / Rest of the world,,Current account / Goods / Receipts / Rest of the world,,Financial account / Net domestic investment abroad / Financial derivatives and employee stock options / Rest of the world,,Current account / Balance / Rest of the world,,Net errors and omissions / Rest of the world,,Capital account / Balance / Rest of the world,,Current account / Secondary income / Expenditure / Rest of the world,,Financial account / Net / Other investment / Domestic sector: General government / Rest of the world,,Current account / Primary income / Expenditure / Rest of the world,
Decimals,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,
Methodological explanation (in english),,,"Including freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics.",,"Including freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics.",,,,Includes in particular financial and trade credits as well as currency and deposits.,,"Excluding freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics. For transition from foreign trade to trade in goods, see also Table 3 (a) in Statistical Supplements 3, Balance of payments statistics.",,,,,,,,,,"Excluding freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics. For transition from foreign trade to trade in goods, see also Table 3 (a) in Statistical Supplements 3, Balance of payments statistics.",,"For a definition of direct investment, see Table 9 c) in Statistical Supplements 3, Balance of payments statistics.",,"Including freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics.",,,,,,,,,,"Excluding freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics. For transition from foreign trade to trade in goods, see also Table 3 (a) in Statistical Supplements 3, Balance of payments statistics.",,,,,,"Statistical errors and omissions, resulting from the difference between the balance on the financial account and the balances on the current account and the capital account.",,Including net acquisition/disposal of non-produced non-financial assets.,,,,,,,
Time format code,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,
category,AWFA,,AWCKA,,AWCKA,,AWCKA,,AWFA,,AWCKA,,AWCKA,,AWFA,,AWFA,,AWCKA,,AWCKA,,AWFA,,AWCKA,,AWFA,,AWFA,,AWCKA,,AWFA,,AWCKA,,AWFA,,AWCKA,,AWCKA,,AWCKA,,AWCKA,,AWFA,,AWCKA,
unit,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,
unit multiplier,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,
last update,2024-03-14 12:22:20,,2024-03-14 12:21:36,,2024-03-14 12:21:14,,2024-03-14 12:20:50,,2024-03-14 12:22:10,,2024-03-14 12:21:35,,2024-03-14 12:20:50,,2024-03-14 12:22:45,,2024-03-14 12:22:10,,2024-03-14 12:21:13,,2024-03-14 12:20:49,,2024-03-14 12:22:10,,2024-03-14 12:20:50,,2024-03-14 12:22:22,,2024-03-14 14:41:24,,2024-03-14 12:21:13,,2024-03-14 12:22:10,,2024-03-14 12:21:12,,2024-03-14 12:20:26,,2024-03-14 12:20:49,,2024-03-14 12:22:10,,2024-03-14 12:20:50,,2024-03-14 12:21:36,,2024-03-14 12:22:34,,2024-03-14 12:21:36,
1971-01,-221.696,,1173.817,,859.629,,248.471,,1015.202,,3940.715,,-414.808,,-966.579,,1632.502,,592.179,,677.206,,231.661,,-314.188,,2218.319,,432.446,,101.410,,-46.806,,4617.921,,-,Nothing exists,196.682,,1461.900,,-26.079,,516.218,,-14.842,,343.707,
1971-02,-8.703,,1110.901,,831.154,,216.829,,-555.653,,4502.592,,-551.021,,-371.829,,931.069,,604.374,,758.876,,38.574,,-279.747,,121.006,,1574.891,,79.438,,-126.743,,5261.468,,-,Nothing exists,144.937,,809.615,,-23.483,,630.459,,-296.127,,387.544,
1971-03,53.299,,1306.394,,1031.181,,276.192,,-1245.398,,5072.286,,-462.039,,-891.957,,1058.118,,719.540,,1317.385,,287.140,,-275.213,,-482.696,,1777.128,,78.826,,239.247,,6389.671,,-,Nothing exists,856.325,,200.889,,0.903,,540.864,,75.956,,443.348,
